call_id,agent_id,call_duration,hold_time,csat_score,first_call_res,repeat_call,issue_type,channel
190,3,791,105,3,0,0,General,Chat
191,39,670,90,2,0,1,Tech,Voice
192,6,601,41,5,1,0,Billing,Voice
193,8,715,67,2,0,1,Tech,Chat
194,27,380,92,5,1,0,Tech,Voice
195,9,720,61,2,0,1,Tech,Chat
196,37,609,73,2,0,1,Tech,Voice
197,33,541,129,5,1,0,General,Chat
198,42,546,136,5,1,0,General,Voice
199,44,596,185,1,0,1,General,Chat
200,24,670,74,5,1,0,Tech,Voice
201,15,501,121,5,1,0,Billing,Voice
202,32,634,94,4,1,1,Billing,Voice
203,32,628,90,2,0,1,Tech,Chat
204,24,329,101,5,1,0,Billing,Voice
205,41,568,108,5,1,0,Billing,Email
206,49,678,135,2,0,1,General,Voice
207,49,853,100,4,1,1,Tech,Chat
208,12,776,193,4,1,0,Tech,Chat
209,39,700,17,2,0,1,Billing,Chat
210,2,912,183,3,1,0,Tech,Chat
211,3,510,97,5,1,0,Billing,Voice
212,49,579,108,5,1,0,General,Voice
213,37,793,119,5,1,0,Tech,Voice
214,49,736,162,5,1,0,Tech,Voice
215,17,920,67,4,1,0,Tech,Voice
216,49,531,80,5,1,0,Billing,Voice
217,2,674,150,2,0,1,Tech,Voice
218,2,361,18,3,0,0,Tech,Voice
219,28,630,117,5,1,0,Tech,Chat
220,23,392,72,5,1,0,Billing,Voice
221,37,743,59,5,1,0,Tech,Voice
222,32,561,21,5,1,0,Tech,Chat
223,33,623,166,2,0,1,General,Voice
224,1,916,129,4,1,0,Tech,Voice
225,19,745,79,2,0,1,Tech,Voice
226,2,602,110,2,0,1,Tech,Chat
227,44,792,54,5,1,0,Tech,Voice
228,26,1034,87,4,1,0,Tech,Voice
229,32,987,108,4,1,0,Tech,Voice
230,6,539,123,5,1,0,Tech,Voice
231,32,376,143,2,0,1,General,Chat
232,4,495,11,2,0,1,Tech,Chat
233,11,413,143,5,1,0,General,Chat
234,17,787,16,5,1,0,Tech,Voice
235,38,483,145,2,0,1,General,Chat
236,24,449,107,4,1,1,General,Voice
237,5,905,185,3,1,0,Tech,Voice
238,34,613,79,5,1,0,General,Voice
239,6,345,166,5,1,0,Billing,Chat
240,22,667,49,5,1,0,General,Chat
241,11,825,126,5,1,0,Tech,Voice
242,48,613,0,5,1,0,Billing,Chat
243,16,664,172,3,0,0,Tech,Chat
244,33,527,223,4,1,0,General,Voice
245,9,313,78,5,1,0,Billing,Chat
246,6,880,127,5,1,0,Tech,Voice
247,16,600,146,5,1,0,Tech,Chat
248,29,445,26,5,1,0,General,Chat
249,3,617,75,5,1,0,Tech,Voice
250,20,766,71,5,1,0,Billing,Chat
251,36,469,264,4,1,0,Billing,Voice
252,19,891,182,2,0,0,Tech,Chat
253,26,746,106,5,1,0,Tech,Voice
254,3,450,166,4,1,1,General,Chat
255,19,428,132,5,1,0,Billing,Voice
256,20,655,155,4,1,1,Tech,Chat
257,32,541,56,3,0,0,Billing,Voice
258,7,622,202,4,1,0,Billing,Chat
259,41,679,73,2,0,1,Tech,Voice
260,33,673,77,5,1,0,Tech,Voice
261,40,617,155,2,0,1,Tech,Voice
262,39,406,140,5,1,0,General,Chat
263,18,558,121,5,1,0,Tech,Voice
264,40,668,170,5,1,0,General,Voice
265,1,486,50,5,1,0,General,Chat
266,11,683,230,4,1,0,Tech,Chat
267,28,470,89,5,1,0,General,Voice
268,25,702,114,3,0,0,Tech,Voice
269,50,594,231,3,1,1,Billing,Voice
270,23,676,77,5,1,0,Tech,Chat
271,31,571,181,4,1,0,Billing,Chat
272,30,962,107,1,0,1,Tech,Chat
273,42,627,69,5,1,0,Tech,Chat
274,35,497,96,5,1,0,Billing,Voice
275,7,626,153,5,1,0,Billing,Voice
276,16,729,180,2,0,0,General,Voice
277,26,563,133,2,0,1,Tech,Voice
278,48,345,24,5,1,0,Billing,Email
279,49,749,158,5,1,0,Tech,Voice
280,2,734,111,5,1,0,Tech,Email
281,1,855,53,5,1,0,Tech,Chat
282,48,615,140,4,1,1,General,Chat
283,12,744,188,4,1,0,Tech,Voice
284,5,907,120,3,1,1,Tech,Voice
285,37,468,175,5,1,0,General,Voice
286,32,575,147,4,1,1,General,Chat
287,9,404,148,5,1,0,Billing,Voice
288,41,544,101,5,1,0,Billing,Voice
289,35,374,169,5,1,0,Billing,Chat
290,19,582,174,2,0,1,Tech,Chat
291,48,1006,167,2,0,0,Tech,Chat
292,16,476,101,5,1,0,Tech,Voice
293,3,524,179,5,1,0,General,Email
294,20,874,143,5,1,0,Tech,Chat
295,24,816,61,5,1,0,Billing,Chat
296,33,776,97,2,0,1,Tech,Voice
297,24,785,88,5,1,0,Tech,Chat
298,11,755,0,2,0,1,Tech,Chat
299,49,908,180,3,1,0,Tech,Voice
300,8,601,306,2,0,0,General,Voice
301,36,663,192,1,0,1,Tech,Chat
302,38,917,129,1,0,1,Tech,Email
303,40,680,89,5,1,0,Tech,Chat
304,20,510,64,2,0,1,Tech,Voice
305,35,358,129,5,1,0,Billing,Voice
306,48,719,178,2,0,1,Tech,Voice
307,25,562,79,5,1,0,Billing,Chat
308,35,664,273,4,1,0,General,Chat
309,25,626,36,2,0,1,Billing,Voice
310,29,761,133,2,0,1,Tech,Email
311,18,901,124,1,0,1,Tech,Chat
312,46,551,120,5,1,0,General,Voice
313,18,395,85,2,0,1,Billing,Voice
314,2,368,124,5,1,0,Billing,Voice
315,35,703,93,5,1,0,Billing,Voice
316,16,280,197,2,0,0,Billing,Voice
317,41,525,217,4,1,0,Billing,Chat
318,36,1197,96,4,1,0,Tech,Chat
319,33,605,21,5,1,0,Billing,Voice
320,4,524,139,5,1,0,Billing,Voice
321,33,347,136,4,1,1,General,Chat
322,14,992,126,4,1,0,Tech,Voice
323,21,932,151,4,1,0,Tech,Email
324,48,852,202,4,1,0,Tech,Voice
325,20,549,169,5,1,0,General,Voice
326,8,618,151,5,1,0,Billing,Chat
327,7,532,165,5,1,0,General,Chat
328,3,604,135,5,1,0,Tech,Voice
329,17,664,63,4,1,1,Billing,Voice
330,33,543,207,2,0,0,General,Chat
331,48,612,126,5,1,0,Billing,Voice
332,12,535,63,5,1,0,Billing,Voice
333,22,605,52,5,1,0,General,Chat
334,22,747,64,5,1,0,Tech,Chat
335,46,736,46,2,0,1,Tech,Chat
336,30,553,160,4,1,1,Billing,Voice
337,38,1194,109,4,1,0,Tech,Voice
338,38,870,166,5,1,0,Tech,Voice
339,45,1137,190,1,0,1,Tech,Chat
340,8,748,174,5,1,0,Tech,Chat
341,27,512,158,5,1,0,Billing,Voice
342,27,421,137,5,1,0,Billing,Voice
343,34,742,108,5,1,0,General,Chat
344,21,614,112,2,0,1,Tech,Voice
345,30,767,155,5,1,0,General,Voice
346,33,597,62,2,0,1,Tech,Voice
347,28,882,116,5,1,0,Tech,Chat
348,47,359,75,5,1,0,Billing,Email
349,33,683,190,4,1,0,Tech,Voice
350,5,552,163,5,1,0,Billing,Voice
351,48,660,248,4,1,0,Tech,Voice
352,19,724,74,5,1,0,Tech,Voice
353,4,530,80,5,1,0,General,Voice
354,35,871,123,3,0,0,Tech,Voice
355,49,299,76,2,0,1,Billing,Chat
356,17,482,152,2,0,1,Billing,Voice
357,44,700,116,4,1,1,Billing,Chat
358,28,834,90,5,1,0,Tech,Chat
359,30,940,185,3,1,0,Tech,Voice
360,29,641,9,5,1,0,General,Voice
361,46,419,152,2,0,1,Billing,Chat
362,6,849,86,2,0,1,Tech,Chat
363,35,765,169,2,0,1,Tech,Voice
364,41,1090,183,3,1,0,Tech,Voice
365,37,870,0,3,0,0,Tech,Chat
366,24,828,107,2,0,1,Tech,Voice
367,29,850,123,5,1,0,Tech,Voice
368,49,606,0,5,1,0,Billing,Email
369,46,816,133,5,1,0,Tech,Chat
370,31,518,88,4,1,1,Billing,Chat
371,35,830,47,3,0,0,Tech,Voice
372,33,892,80,4,1,1,Tech,Voice
373,21,909,70,4,1,0,Tech,Chat
374,32,662,85,5,1,0,General,Chat
375,23,730,131,5,1,0,General,Voice
376,33,684,178,5,1,0,General,Email
377,3,844,115,2,0,1,Tech,Voice
378,18,578,186,4,1,0,Tech,Voice
379,25,578,57,2,0,1,Tech,Voice
380,42,520,129,2,0,1,General,Chat
381,31,757,246,4,1,0,Tech,Chat
382,3,717,24,2,0,1,General,Chat
383,40,216,22,5,1,0,General,Voice
384,46,595,196,1,0,1,Tech,Chat
385,24,526,133,5,1,0,Billing,Voice
386,50,430,83,5,1,0,Billing,Voice
387,32,454,52,5,1,0,General,Chat
388,47,490,117,5,1,0,Billing,Voice
389,22,436,128,5,1,0,General,Voice
390,23,634,128,5,1,0,Tech,Voice
391,2,954,51,2,0,0,Tech,Voice
392,27,623,99,2,0,1,General,Voice
393,42,864,85,5,1,0,Tech,Voice
394,2,744,158,5,1,0,Tech,Voice
395,26,901,55,4,1,0,Tech,Voice
396,17,877,124,4,1,1,Tech,Chat
397,40,839,278,4,1,0,Tech,Voice
398,33,471,51,2,0,1,Billing,Chat
399,9,496,75,5,1,0,General,Chat
400,43,676,114,5,1,0,General,Chat
401,48,672,0,2,0,1,Tech,Chat
402,39,556,34,5,1,0,Tech,Voice
403,29,669,138,5,1,0,Tech,Voice
404,42,983,109,1,0,1,Tech,Chat
405,26,485,183,1,0,1,General,Chat
406,35,589,105,4,1,1,Billing,Voice
407,50,476,100,5,1,0,Billing,Voice
408,25,864,77,5,1,0,Tech,Chat
409,24,830,99,2,0,1,Tech,Chat
410,13,526,47,5,1,0,Tech,Chat
411,7,790,111,5,1,0,Tech,Voice
412,36,497,61,5,1,0,Tech,Voice
413,45,666,47,4,1,1,Tech,Voice
414,20,548,81,5,1,0,Billing,Voice
415,1,1027,147,4,1,0,Tech,Email
416,8,588,128,5,1,0,Billing,Voice
417,46,457,160,5,1,0,Billing,Voice
418,16,702,64,2,0,1,Tech,Voice
419,14,660,119,5,1,0,Billing,Chat
420,12,459,222,4,1,0,Billing,Voice
421,23,681,203,4,1,0,Billing,Chat
422,15,487,43,4,1,1,General,Chat
423,28,440,59,5,1,0,General,Voice
424,34,676,221,1,0,1,Tech,Voice
425,2,356,147,5,1,0,General,Chat
426,32,424,108,5,1,0,Tech,Chat
427,23,737,101,5,1,0,Tech,Voice
428,22,541,133,3,0,0,Billing,Voice
429,25,788,134,5,1,0,Tech,Chat
430,22,736,88,2,0,1,Tech,Voice
431,22,1099,110,4,1,0,Tech,Voice
432,49,775,85,3,0,0,Tech,Chat
433,42,543,130,2,0,1,Tech,Voice
434,6,582,75,5,1,0,Tech,Chat
435,15,550,43,2,0,1,General,Voice
436,43,684,208,1,0,1,Tech,Voice
437,37,565,115,3,0,0,Tech,Chat
438,33,741,221,1,0,1,Tech,Voice
439,8,743,4,5,1,0,Tech,Chat
440,44,989,33,4,1,0,Tech,Voice
441,44,440,148,2,0,1,Billing,Voice
442,5,687,115,5,1,0,Tech,Voice
443,39,741,50,2,0,1,Billing,Chat
444,4,799,188,4,1,0,Tech,Voice
445,6,611,67,5,1,0,Tech,Voice
446,45,642,191,1,0,1,Tech,Voice
447,32,404,115,2,0,1,Billing,Chat
448,30,761,55,5,1,0,Tech,Voice
449,47,673,79,5,1,0,Billing,Chat
450,35,745,202,1,0,1,General,Email
451,40,371,102,2,0,1,General,Voice
452,16,654,178,5,1,0,General,Voice
453,13,774,204,4,1,0,Tech,Chat
454,50,710,115,5,1,0,Tech,Voice
455,42,499,106,2,0,1,Billing,Chat
456,30,461,95,5,1,0,Tech,Voice
457,19,845,141,5,1,0,Tech,Voice
458,17,552,210,4,1,0,Tech,Email
459,19,460,46,5,1,0,General,Voice
460,28,600,133,4,1,1,Billing,Voice
461,26,332,130,5,1,0,General,Chat
462,37,551,11,2,0,1,Tech,Email
463,26,932,66,4,1,0,Tech,Voice
464,23,564,79,5,1,0,Billing,Email
465,9,470,165,5,1,0,Billing,Chat
466,12,768,176,2,0,1,Tech,Email
467,1,850,7,3,0,0,Tech,Chat
468,1,684,158,5,1,0,Billing,Chat
469,47,583,150,5,1,0,Tech,Chat
470,34,427,154,5,1,0,General,Voice
471,32,623,129,2,0,1,General,Email
472,48,626,177,5,1,0,General,Voice
473,25,548,190,4,1,0,Tech,Voice
474,40,601,21,2,0,1,Tech,Chat
475,45,720,117,2,0,1,Tech,Voice
476,1,753,104,5,1,0,Tech,Chat
477,16,556,85,5,1,0,Billing,Chat
478,39,386,92,5,1,0,Billing,Voice
479,5,756,131,5,1,0,Tech,Voice
480,22,463,42,5,1,0,Billing,Voice
481,29,575,160,3,0,0,Tech,Chat
482,3,548,97,5,1,0,Billing,Chat
483,12,536,172,5,1,0,Billing,Voice
484,26,870,82,5,1,0,Tech,Email
485,16,620,79,5,1,0,Tech,Voice
486,37,785,63,2,0,1,Tech,Voice
487,22,361,83,5,1,0,Billing,Voice
488,29,517,71,2,0,1,Billing,Voice
489,14,819,146,5,1,0,Tech,Chat
490,28,832,182,4,1,0,Tech,Voice
491,5,833,143,5,1,0,Tech,Chat
492,47,870,115,5,1,0,Tech,Chat
493,49,496,149,5,1,0,General,Voice
494,30,824,117,2,0,1,Tech,Voice
495,46,1030,121,4,1,0,Tech,Voice
496,5,679,101,2,0,1,Tech,Voice
497,12,957,170,4,1,0,Tech,Voice
498,16,881,0,2,0,1,Tech,Voice
499,26,710,0,5,1,0,Tech,Voice
500,26,722,181,4,1,0,Tech,Chat
501,48,564,108,3,0,0,Billing,Voice
502,21,648,175,5,1,0,Billing,Email
503,39,810,83,2,0,1,Tech,Voice
504,36,493,220,3,1,1,General,Email
505,33,300,111,2,0,1,Billing,Voice
506,30,630,146,3,0,0,General,Chat
507,37,460,93,5,1,0,Tech,Voice
508,23,386,66,5,1,0,General,Voice
509,10,501,15,5,1,0,General,Chat
510,5,567,167,4,1,1,Tech,Chat
511,36,588,143,5,1,0,Billing,Chat
512,34,514,125,4,1,1,Billing,Voice
513,31,644,51,4,1,1,Billing,Chat
514,10,508,204,1,0,1,Tech,Voice
515,19,470,126,5,1,0,Billing,Voice
516,32,750,162,2,0,1,Tech,Chat
517,1,756,119,5,1,0,Tech,Voice
518,5,633,54,5,1,0,General,Email
519,45,440,179,5,1,0,Billing,Voice
520,4,493,147,5,1,0,Billing,Email
521,16,610,109,2,0,1,Billing,Chat
522,24,286,146,2,0,1,General,Voice
523,16,807,169,5,1,0,Tech,Voice
524,2,641,159,3,0,0,Billing,Chat
525,49,389,17,5,1,0,Billing,Chat
526,28,512,30,3,0,0,Billing,Voice
527,32,729,163,5,1,0,Billing,Chat
528,27,629,78,2,0,1,General,Voice
529,20,817,57,3,0,0,Tech,Chat
530,24,898,142,5,1,0,Tech,Email
531,12,766,55,5,1,0,General,Voice
532,50,552,91,5,1,0,Billing,Chat
533,35,688,171,5,1,0,Tech,Voice
534,33,668,29,2,0,1,General,Voice
535,33,721,37,2,0,1,Tech,Chat
536,43,610,23,2,0,1,Tech,Voice
537,37,485,68,5,1,0,Billing,Voice
538,12,587,124,5,1,0,Billing,Chat
539,3,496,82,5,1,0,Billing,Voice
540,1,693,210,1,0,1,Tech,Voice
541,33,595,147,5,1,0,Tech,Voice
542,40,722,118,5,1,0,General,Voice
543,10,698,196,4,1,0,Tech,Voice
544,43,464,40,5,1,0,General,Chat
545,44,477,171,4,1,1,General,Voice
546,29,646,105,5,1,0,Billing,Voice
547,13,835,92,3,0,0,Tech,Voice
548,12,489,156,5,1,0,Billing,Voice
549,31,754,95,2,0,1,Tech,Voice
550,46,583,130,5,1,0,General,Chat
551,2,465,114,2,0,1,Billing,Voice
552,50,518,138,5,1,0,Tech,Email
553,35,827,89,2,0,1,Tech,Voice
554,23,652,175,3,0,0,Tech,Voice
555,17,816,0,5,1,0,Tech,Voice
556,26,798,158,3,0,0,Tech,Voice
557,8,556,6,5,1,0,Billing,Chat
558,29,498,74,4,1,1,Billing,Chat
559,26,473,151,5,1,0,Billing,Voice
560,10,579,0,3,0,0,Tech,Chat
561,26,476,129,2,0,1,Billing,Chat
562,34,618,37,5,1,0,General,Email
563,41,959,61,4,1,0,Tech,Voice
564,7,937,59,1,0,1,Tech,Voice
565,4,771,39,2,0,1,Tech,Voice
566,50,959,16,2,0,0,Tech,Voice
567,45,513,244,4,1,0,General,Chat
568,11,395,109,5,1,0,Billing,Email
569,29,780,45,5,1,0,Billing,Voice
570,36,829,86,5,1,0,Tech,Chat
571,25,365,122,5,1,0,Billing,Email
572,21,737,97,5,1,0,Billing,Email
573,36,638,43,5,1,0,Tech,Chat
574,10,486,66,5,1,0,Billing,Chat
575,37,903,191,3,1,0,Tech,Voice
576,9,713,35,4,1,1,Billing,Email
577,24,429,0,5,1,0,General,Voice
578,35,970,96,4,1,0,Tech,Voice
579,49,881,4,5,1,0,Tech,Voice
580,35,630,65,5,1,0,Tech,Chat
581,48,520,44,2,0,1,General,Voice
582,36,731,45,5,1,0,Billing,Chat
583,18,362,124,2,0,1,General,Voice
584,49,957,135,4,1,0,Tech,Voice
585,39,876,71,2,0,1,Tech,Voice
586,32,826,114,5,1,0,Tech,Voice
587,24,565,68,5,1,0,Billing,Voice
588,23,1045,144,1,0,1,Tech,Voice
589,32,1067,31,4,1,0,Tech,Voice
590,37,476,129,5,1,0,Billing,Chat
591,12,841,134,5,1,0,Tech,Voice
592,49,774,260,4,1,0,Billing,Chat
593,13,455,14,2,0,1,Billing,Voice
594,23,579,279,2,0,0,Billing,Voice
595,25,670,165,5,1,0,Billing,Chat
596,35,447,229,3,1,1,Tech,Chat
597,41,649,174,2,0,1,Billing,Voice
598,30,419,63,3,0,0,General,Voice
599,17,778,159,5,1,0,Tech,Email
600,49,687,80,5,1,0,Billing,Voice
601,20,391,114,5,1,0,Tech,Voice
602,48,644,49,3,0,0,General,Voice
603,25,1055,79,4,1,0,Tech,Chat
604,22,486,173,5,1,0,Billing,Chat
605,13,619,146,5,1,0,General,Voice
606,19,950,181,1,0,1,Tech,Voice
607,49,358,36,2,0,1,Billing,Voice
608,36,640,7,5,1,0,Billing,Voice
609,12,903,186,2,1,1,Tech,Voice
610,41,626,181,2,0,0,Billing,Voice
611,19,560,132,2,0,1,General,Voice
612,12,599,145,2,0,1,Tech,Chat
613,9,716,171,2,0,1,General,Chat
614,7,755,130,5,1,0,Tech,Chat
615,28,441,152,5,1,0,Billing,Voice
616,14,511,168,5,1,0,Billing,Email
617,31,805,114,5,1,0,Tech,Email
618,19,515,99,2,0,1,Tech,Voice
619,47,752,142,5,1,0,Tech,Voice
620,16,499,255,4,1,0,Billing,Chat
621,5,710,69,5,1,0,Billing,Chat
622,35,325,94,5,1,0,Billing,Email
623,12,890,14,3,0,0,Tech,Chat
624,25,720,146,5,1,0,Billing,Voice
625,21,474,88,5,1,0,Tech,Voice
626,36,492,35,5,1,0,Tech,Voice
627,23,764,116,5,1,0,General,Chat
628,16,614,209,4,1,0,Tech,Email
629,39,921,98,4,1,0,Billing,Voice
630,45,479,104,5,1,0,Tech,Voice
631,42,775,207,1,0,1,Tech,Voice
632,39,746,119,5,1,0,Tech,Voice
633,14,525,47,5,1,0,General,Chat
634,31,605,161,5,1,0,General,Voice
635,5,612,187,4,1,0,Billing,Voice
636,35,529,107,2,0,1,Billing,Voice
637,23,597,127,5,1,0,Tech,Voice
638,29,907,41,4,1,0,Tech,Voice
639,43,625,67,3,0,0,Billing,Voice
640,11,767,100,3,0,0,Tech,Voice
641,18,839,124,5,1,0,Tech,Chat
642,47,642,82,2,0,1,Billing,Chat
643,12,635,97,5,1,0,Tech,Chat
644,9,617,112,2,0,1,General,Chat
645,10,483,60,4,1,1,Billing,Email
